skill_id,skill_name,skill_type,reuse_level,description
3d-body-scanning-technologies,3D body scanning technologies,knowledge,sector-specific,The principles and usage of technologies for 3D body scanning used to capture the size and shape of the human body.
3d-lighting,3D lighting,knowledge,sector-specific,The arrangement or digital effect which simulates lighting in a 3D environment.
3d-modelling,3D modelling,knowledge,cross-sector,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.
3d-printing-process,3D printing process,knowledge,sector-specific,The process of reproducing 3D objects by using 3D printing technologies.
3d-texturing,3D texturing,knowledge,sector-specific,The process of applying a type of surface to a 3D image.
abap,ABAP,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP."
abbyy-finereader,ABBYY FineReader,knowledge,sector-specific,"The computer program ABBYY FineReader is software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed."
abide-by-regulations-on-banned-materials,abide by regulations on banned materials,skill/competence,sector-specific,"Comply with regulations banning heavy metals in solder, flame retardants in plastics, and phthalate plasticisers in plastics and wiring harness insulations, under EU RoHS/WEEE Directives and China RoHS legislation."
absorb-learning-management-systems,Absorb (learning management systems),knowledge,sector-specific,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
accounting-techniques,accounting techniques,knowledge,cross-sector,"The techniques of recording and summarising business and financial transactions and analysing, verifying, and reporting the results."
achieve-sales-targets,achieve sales targets,skill/competence,cross-sector,"Reach set sales goals, measured in revenue or sold units. Reach the target within a specific timeframe, prioritise sold products and services accordingly and plan in advance."
acoustics,acoustics,knowledge,cross-sector,"The study of sound, its reflection, amplification and absorption in a space."
acquire-system-component,acquire system component,skill/competence,sector-specific,"Obtain hardware, software or network components which match other system components in order to expand it and perform necessary tasks."
adapt-artistic-plan-to-location,adapt artistic plan to location,skill/competence,sector-specific,Adjust plans to other locations with regards to the artistic concept.
adapt-developed-game-to-the-market,adapt developed game to the market,skill/competence,sector-specific,Follow gaming trends in order to adjust the development of new games to the current needs of the market.
adapt-existing-designs-to-changed-circumstances,adapt existing designs to changed circumstances,skill/competence,sector-specific,Adapt an existing design to changed circumstances and ensure that the artistic quality of the original design is reflected in the final result.
adapt-teaching-to-student-s-capabilities,adapt teaching to student's capabilities,skill/competence,cross-sector,Identify the learning struggles and successes of students. Select teaching and learning strategies that support students’ individual learning needs and goals.
adapt-to-artists-creative-demands,adapt to artists' creative demands,skill/competence,sector-specific,"Work with artists, striving to understand the creative vision and adapting to it. Make full use of your talents and skills to reach the best possible result."
adapt-to-change-in-marketing,adapt to change in marketing,skill/competence,occupation-specific,"Stay informed and adapt to developments, innovations and trends concerning marketing such as marketing tools and marketing technologies."
adapt-to-changes-in-technological-development-plans,adapt to changes in technological development plans,skill/competence,sector-specific,Modify the current design and development activities of technological projects to meet changes in requests or strategies. Ensure that the organisation's or client's needs are met and that any sudden requests which were not previously planned are implemented.
adapt-to-changing-situations,adapt to changing situations,skill/competence,cross-sector,"Change approach to situations based on unexpected and sudden changes in people's needs and mood or in trends; shift strategies, improvise and naturally adapt to those circumstances."
adapt-to-type-of-media,adapt to type of media,skill/competence,sector-specific,"Adapt to different types of media such as television, movies, commercials, and others. Adapt work to type of media, scale of production, budget, genres within type of media, and others."
address-identified-risks,address identified risks,skill/competence,sector-specific,"Implement a risk treatment plan to address the risks identified during the assessment phase, avoid their occurrence and/or minimise their impact. Evaluate the different options available to reduce the exposure to the identified risks, based on the risk appetite of an organisation, the accepted level of tolerance and the cost of treatment."
address-problems-critically,address problems critically,skill/competence,cross-sector,"Identify the strengths and weaknesses of various abstract, rational concepts, such as issues, opinions, and approaches related to a specific problematic situation in order to formulate solutions and alternative methods of tackling the situation."
adhere-to-organisational-guidelines,adhere to organisational guidelines,skill/competence,cross-sector,Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.
adjust-engineering-designs,adjust engineering designs,skill/competence,cross-sector,Adjust designs of products or parts of products so that they meet requirements.
adjust-ict-system-capacity,adjust ICT system capacity,skill/competence,sector-specific,"Change the scope of an ICT system by adding or reallocating additional ICT system components, such as network components, servers or storage to meet capacity or volume demands."
adjust-manufacturing-equipment,adjust manufacturing equipment,skill/competence,cross-sector,"Regulate and monitor the manufacturing equipment settings and process parameters, such as its temperature and power level. Review the manufacturing process and equipment and suggest improvements."
