skill_id,skill_name,skill_type,reuse_level,esco_skill_id,description
comply-with-legislation-related-to-health-care,comply with legislation related to health care,skill/competence,cross-sector,key_10001,"Comply with the regional and national health legislation which regulates relations between suppliers, payers, vendors of the healthcare industry and patients, and the delivery of healthcare services."
propose-improvements-to-artistic-production,propose improvements to artistic production,skill/competence,sector-specific,key_10003,Assess past artistic activities with a view to improving future projects.
manage-data,manage data,skill/competence,sector-specific,key_10012,"Administer all types of data resources through their lifecycle by performing data profiling, parsing, standardisation, identity resolution, cleansing, enhancement and auditing. Ensure the data is fit for purpose, using specialised ICT tools to fulfil the data quality criteria."
read-lighting-plans,read lighting plans,skill/competence,sector-specific,key_10024,Read the instructions on the light plan to determine the light equipment needed and the right placement.
conduct-search-engine-optimisation,conduct search engine optimisation,skill/competence,cross-sector,key_10045,"Execute optimal marketing research and strategies on search engine processes, also known as search engine marketing (SEM), in order to increase online traffic and website exposure."
pedagogy,pedagogy,knowledge,cross-sector,key_10063,The discipline that concerns the theory and practice of education including the various instructional methods for educating individuals or groups.
search-databases,search databases,skill/competence,cross-sector,key_10072,Search for information or people using databases.
media-formats,media formats,knowledge,sector-specific,key_10078,"The various formats in which media can be made available to the audience, such as paper books, e-books, tapes, and analogue signal."
industrial-engineering,industrial engineering,knowledge,cross-sector,key_10084,"The field of engineering concerned with the development, improvement, and implementation of complex processes and systems of knowledge, people, equipment, etc."
set-up-machine-controls,set up machine controls,skill/competence,cross-sector,key_10089,"Set up or adjust machine controls to regulate conditions such as material flow, temperature, or pressure."
project-anarchy,Project Anarchy,knowledge,sector-specific,key_10138,"The mobile game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
hybrid-control-systems,hybrid control systems,knowledge,cross-sector,key_10152,Control systems containing both subsystems with continuous dynamics as well as subsystems with discrete dynamics.
cad-software,CAD software,knowledge,cross-sector,key_10153,"The computer-aided design (CAD) software for creating, modifying, analysing or optimising a design."
plan-ict-capacity,plan ICT capacity,skill/competence,occupation-specific,key_10161,"Schedule the longer-term hardware capacity, ICT infrastructure, computing resources, human resources and other aspects needed to meet changing demands for ICT products and services."
select-illustration-styles,select illustration styles,skill/competence,sector-specific,key_10179,"Select the appropriate style, medium, and techniques of illustration in line with the needs of the project and client's requests."
file-based-workflow,file-based workflow,knowledge,sector-specific,key_10180,"The recording of moving images without using tape, but by storing these digital videos on optical disks, hard drives, and other digital storage devices."
operate-garment-manufacturing-machines,operate garment manufacturing machines,skill/competence,sector-specific,key_10203,"Operate and monitor machines which make miscellaneous wearing apparel articles. Operate and monitor machines that fold cloth into measured length, and measure size of pieces."
ict-problem-management-techniques,ICT problem management techniques,knowledge,sector-specific,key_10206,The techniques related to identifying the solutions of the root cause of ICT incidents.
coordinate-activities-in-audio-recording-studio,coordinate activities in audio recording studio,skill/competence,cross-sector,key_10211,Monitor the daily operations in a audio recording studio. Make sure that persons involved in recording studio activities can produce the desired quality of sound according to customer specifications. Ensure the material is maintained and available.
data-protection,data protection,knowledge,sector-specific,key_10223,"The principles, ethical issues, regulations and protocols of data protection."
use-storyboards,use storyboards,skill/competence,sector-specific,key_10227,"Use a graphic presentation to convey, shot by shot, your creative vision and ideas on how a motion picture should look in terms of light, sound, visuals, costumes or make-up."
design-information-system,design information system,skill/competence,sector-specific,key_10237,"Define the architecture, composition, components, modules, interfaces and data for integrated information systems (hardware, software and network), based on system requirements and specifications."
web-strategy-assessment,web strategy assessment,knowledge,sector-specific,key_10240,Techniques for conducting a deep analysis of a company's web presence.
define-integration-strategy,define integration strategy,skill/competence,sector-specific,key_10244,"Specify strategies for system integration, incorporating the time schedule, the processes required to combine components into subsystems and systems, the means on how components will interface as well as the risks associated with the integration."
